Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18659623,Through the Woods,Emily Carroll,"Carroll, Emily",,1442465956,9.78144E+12,4,3.94,Margaret K. McElderry Books,Hardcover,208,2014,2014,05/12/2021,05/12/2021,,,read,,,,2,0
2519808,War of the Computers,Granville Wilson,"Wilson, Granville",,583304958,9.78058E+12,2,2.8,Mayflower,Paperback,96,1981,1981,23/12/2022,23/12/2022,,,read,,,,1,0
31219061,Winnie-the-Pooh,A.A. Milne,"Milne, A.A.",Ernest H. Shepard,1405281316,9.78141E+12,2,4.35,Farshore,Paperback,160,2016,1926,12/12/2022,12/12/2022,,,read,,,,1,0
5907,"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,"Tolkien, J.R.R.","Jemima Catlin, Michael Hague, Douglas A. Anderson",,,5,4.28,Houghton Mifflin,Paperback,366,2002,1937,01/01/2019,06/05/2021,,,read,,,,2,0
53465671,"The Mysterious Study of Doctor Sex (The Locked Tomb, #0.5)",Tamsyn Muir,"Muir, Tamsyn",,,,4,4.09,Tor Books,ebook,,2020,2020,02/12/2022,02/12/2022,,,read,,,,1,0
59845914,The Visitors,Jessi Jezewska Stevens,"Stevens, Jessi Jezewska",,1913505286,9.78191E+12,4,3.55,And Other Stories,Hardcover,224,2022,2022,01/12/2022,20/11/2022,,,read,,,,1,0
51983375,Luigi A Number One: Why Luigi is the Best Thing to Ever Happen to This Godforsaken Planet That We Live On,Luigi Enthusiast,"Enthusiast, Luigi",,1097635104,9.7811E+12,5,4.45,Independently published,paperback,70,2019,,16/01/2021,21/05/2021,,,read,Undeniably a literary classic,,,2,0
11263358,Call the Midwife: A True Story of the East End in the 1950s,Jennifer Worth,"Worth, Jennifer",,,9.78075E+12,4,4.17,Phoenix,Paperback,340,2012,2002,18/11/2022,11/11/2022,,,read,,,,1,0
25241930,The Gun,Fuminori Nakamura,"Nakamura, Fuminori",Allison Markin Powell,1616955902,9.78162E+12,2,3.56,Soho Crime,Hardcover,198,2016,2003,10/11/2022,09/11/2022,,,read,i need to stop reading books about psychopaths,,,1,0
25786523,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,"Chambers, Becky",,1473619807,9.78147E+12,4,4.17,Hodder & Stoughton,Paperback,404,2015,2014,03/08/2021,31/07/2021,,,read,,,,2,0
1205186,Doctor Who: Quiz Book 2,Leanne Gill,"Gill, Leanne",,1405902310,9.78141E+12,0,2.83,,,,,,,25/10/2022,currently-reading,currently-reading (#1),currently-reading,,,,1,0
18158202,The Testament of Mary,Colm Tóibín,"Tóibín, Colm",,241962978,9.78024E+12,2,3.64,Penguin,Paperback,104,2013,2012,23/10/2022,21/10/2022,,,read,,,,1,0
38470103,Winter,Ali Smith,"Smith, Ali",,241973333,9.78024E+12,4,3.85,Penguin,Paperback,325,2018,2017,21/10/2022,07/09/2022,,,read,,,,1,0
